"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2017","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","206,000","86.9 (81.8, 90.8)"
"2017","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","62,000","86.7 (75.3, 93.3)"
"2017","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","160,000","86.3 (78.4, 91.6)"
"2017","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","117,000","85.7 (79.2, 90.4)"
"2017","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","190,000","84.9 (77.6, 90.2)"
"2017","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","207,000","84.8 (78.9, 89.2)"
"2017","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","141,000","84.6 (76.2, 90.4)"
"2017","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","180,000","84.2 (73.6, 91.0)"
"2017","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","103,000","83.4 (75.1, 89.4)"
"2017","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","132,000","83.1 (76.3, 88.3)"
"2017","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","333,000","82.8 (78.1, 86.6)"
"2017","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","157,000","82.8 (75.7, 88.2)"
"2017","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","67,000","82.6 (72.3, 89.7)"
"2017","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","203,000","82.0 (75.6, 87.0)"
"2017","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","167,000","80.9 (72.3, 87.4)"
"2017","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","189,000","80.0 (72.6, 85.8)"
"2017","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","164,000","80.0 (71.8, 86.3)"
"2017","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","80,000","79.0 (68.1, 86.8)"
"2017","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","78,000","78.1 (67.9, 85.7)"
"2017","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","290,000","77.9 (72.8, 82.3)"
"2017","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","137,000","77.0 (67.4, 84.4)"
"2017","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","155,000","75.5 (66.9, 82.4)"
