"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2018","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","8.1","9.3","9.4"
"2018","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","8.2","9.4","9.3"
"2018","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.7","8.8","9.2"
"2018","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","8.2","9.5","9.2"
"2018","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","7.8","9.2","8.8"
"2018","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","7.6","8.9","8.7"
"2018","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","7.7","9.1","8.6"
"2018","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","7.3","8.5","8.6"
"2018","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","7.5","8.9","8.5"
"2018","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","7.0","8.2","8.4"
"2018","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","7.0","8.3","8.4"
"2018","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","7.5","8.9","8.4"
"2018","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","7.4","8.7","8.4"
"2018","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","7.3","8.6","8.3"
"2018","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","7.2","8.6","8.2"
"2018","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","7.1","8.4","8.2"
"2018","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","6.8","7.8","8.2"
"2018","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","7.0","8.3","8.1"
"2018","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","7.0","8.4","8.1"
"2018","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.7","7.8","8.1"
"2018","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","7.0","8.3","8.1"
