"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2018","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","216,000","91.6 (86.9, 94.8)"
"2018","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","225,000","91.3 (85.5, 94.9)"
"2018","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","74,000","91.0 (82.5, 95.6)"
"2018","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","188,000","90.4 (85.5, 93.8)"
"2018","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","187,000","90.4 (83.4, 94.6)"
"2018","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","191,000","90.3 (83.6, 94.5)"
"2018","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","136,000","89.1 (81.3, 93.9)"
"2018","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","350,000","88.7 (84.8, 91.7)"
"2018","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","62,000*","88.4* (74.5, 95.3)"
"2018","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","135,000","88.0 (78.5, 93.6)"
"2018","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","142,000","87.9 (81.3, 92.4)"
"2018","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","204,000","86.8 (80.6, 91.2)"
"2018","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","177,000","86.5 (78.6, 91.8)"
"2018","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","70,000*","85.7* (70.5, 93.8)"
"2018","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","151,000","85.6 (76.0, 91.8)"
"2018","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","156,000","85.0 (77.8, 90.2)"
"2018","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","198,000","83.7 (76.2, 89.2)"
"2018","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","114,000","83.4 (71.3, 91.1)"
"2018","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","161,000","82.8 (73.1, 89.5)"
"2018","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","112,000","81.7 (70.2, 89.4)"
"2018","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","76,000","78.5 (69.1, 85.6)"
"2018","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","283,000","76.2 (70.4, 81.2)"
"2018","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","112,000","72.4 (62.0, 80.9)"
